ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Language
135,8:00 AM,"8:00 AM, 9:00 AM, 10:00 AM, 10:15 AM, 11:00 AM, 12:00 PM, 12:30 PM, 2:00 PM, 6:00 PM","7:30 AM, 8:00 AM, 9:00 AM, 7:00 PM","7:30 AM, 8:00 AM, 9:00 AM, 7:00 PM","7:30 AM, 8:00 AM, 9:00 AM, 7:00 PM","7:30 AM, 8:00 AM, 9:00 AM, 7:00 PM, 4:30 PM, 6:00 PM, 6:00 PM, 7:00 PM","7:30 AM, 8:00 AM, 9:00 AM, 7:00 PM",English
136,"5:00 PM, 6:30 PM, 3:45 PM","12:00 PM, 10:00 AM, 8:30 AM, 10:30 AM, 1:30 PM, 5:00 PM, 11:00 AM, 10:45 AM","8:30 AM, 7:00 PM","8:30 AM, 7:00 PM","8:30 AM, 7:00 PM","8:30 AM, 7:00 PM","8:30 AM, 7:00 PM",English
137,"8:30 AM, 5:00 PM","7:30 AM, 9:00 AM, 11:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM","7:00 AM, 8:30 AM",English
138,9:00 AM,"7:30 AM, 9:00 AM, 11:00 AM",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,English
139,5:30 PM,"7:30 AM, 9:30 AM, 11:30 AM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,English
140,"9:00 AM, 5:00 PM","8:00 AM, 10:00 AM, 12:00 PM, 6:00 PM",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,English
141,"8:30 AM, 5:30 PM","10:00 AM, 12:00 PM, 5:00 PM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,English
142,"5:30 PM, 8:00 PM","8:30 AM, 10:30 AM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,English
143,5:30 PM,"8:00 AM, 9:30 AM, 11:00 AM",,,,,,English
144,8:45 AM,"7:30 AM, 10:00 AM, 5:00 PM","12:15 PM, 5:00 PM","12:15 PM, 5:00 PM","12:15 PM, 5:00 PM","12:15 PM, 5:00 PM","12:15 PM, 5:00 PM",English
145,,,,,,,,English
146,7:00 PM,9:00 AM,,5:30 PM,,,9:00 AM,English
147,4:30 PM,"9:00 AM, 11:00 AM",,,9:00 AM,,,English
148,4:00 PM,9:00 AM,,,9:00 AM,,,English
149,"5:00 PM, 8:00 AM","8:00 AM, 10:30 AM, 6:00 PM",,6:00 PM,8:00 AM,8:00 AM,8:00 AM,English
150,5:30 PM,"8:00 AM, 10:00 AM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,English
151,6:30 PM,"9:30 AM, 12:00 PM",,,,,,English
152,5:30 PM,"8:00 AM, 9:30 AM, 11:15 AM",5:30 PM,5:30 PM,5:30 PM,5:30 PM,8:00 AM,English
153,,9:00 AM,,,,6:00 PM,,English
154,5:00 PM,"8:00 AM, 10:30 AM",,5:30 PM,8:30 AM,5:30 PM,8:30 AM,English
155,5:00 PM,11:00 AM,,,,4:30 PM,,English
156,"4:00 PM, 6:00 PM","8:00 AM, 10:00 AM, 12:00 PM",,5:30 PM,8:30 AM,,,English
157,,,,,,,,English
158,"5:00 PM, 4:00 PM, 4:30 PM, 4:00 PM, 4:10 PM","9:00 AM, 8:00 AM, 8:30 AM, 8:00 AM, 8:10 AM",6:30 AM,6:30 AM,6:30 AM,6:30 AM,6:30 AM,English
159,"4:00 PM, 6:00 PM","8:00 AM, 10:00 AM, 12:00 PM",,5:30 PM,8:30 AM,,,English
160,5:30 PM,"8:00 AM, 10:00 AM, 12:30 PM, 5:00 PM",,5:30 PM,8:45 AM,5:30 PM,8:45 AM,English
161,4:00 PM,9:00 AM,,9:30 AM,,9:30 AM,,English
162,4:30 PM,9:30 AM,,8:30 AM,,8:30 AM,,English
163,,,,,,,,English
164,,,,,,,,English
165,,,,,,,,English
166,5:00 PM,"7:00 AM, 9:00 AM, 11:00 AM, 1:30 PM",8:30 AM,8:30 AM,8:30 AM,8:30 AM,8:30 AM,English
167,,,,,,,7:15 AM,English
168,5:00 PM,"8:00 AM, 10:00 AM",,,8:00 AM,8:00 AM,8:00 AM,English
169,"4:00 PM, 3:30 PM, 3:50 PM","8:00 AM, 10:00 AM, 12:00 PM",8:30 AM,5:30 PM,8:30 AM,5:30 PM,8:30 AM,English
170,,,,,,,,English
171,,9:00 AM,,4:30 PM,,6:00 PM,,English
172,5:30 PM,10:30 AM,,8:30 AM,6:00 PM,8:30 AM,,English
173,"4:00 PM, 7:00 PM","10:00 AM, 12:00 PM",8:30 AM,8:30 AM,"10:00 AM, 12:00 PM",8:30 AM,8:30 AM,English
174,4:30 PM,"8:30 AM, 11:15 AM",12:00 PM,6:00 PM,8:30 AM,8:30 AM,12:00 PM,English
175,"4:30 PM, 5:00 PM","7:00 AM, 8:45 AM, 7:30 AM, 9:15 AM, 11:00 AM","8:00 AM, 8:30 AM","5:00 PM, 5:30 PM","5:30 PM, 6:00 PM","5:00 PM, 5:30 PM",,English
176,,"8:00 AM, 10:30 AM, 7:00 PM",,,,,,English
177,4:00 PM,"11:00 AM, 9:00 AM, 1:00 PM",9:00 AM,5:45 PM,5:45 PM,5:45 PM,5:45 PM,English
178,,,,,,,,English
179,"4:30 PM, 5:00 PM","7:00 AM, 8:45 AM, 7:30 AM, 9:15 AM, 11:00 AM","8:00 AM, 8:30 AM","5:00 PM, 5:30 PM","5:30 PM, 6:00 PM","5:00 PM, 5:30 PM",,English
180,5:30 PM,9:15 AM,,8:45 AM,8:45 AM,8:45 AM,8:45 AM,English
181,4:30 PM,"7:30 AM, 10:30 AM",,6:15 PM,8:15 AM,8:15 AM,8:15 AM,English
182,4:00 PM,"11:00 AM, 1:00 PM",,,,9:00 AM,"9:00 AM, 11:00 AM",English
183,5:00 PM,10:00 AM,8:00 AM,,5:00 PM,8:00 AM,8:00 AM,English
184,4:00 PM,10:00 AM,,8:15 AM,12:00 PM,8:15 AM,,English
185,4:30 PM,"8:00 AM, 10:00 AM",,,,,,English
186,,,,,,,,English
187,4:00 PM,"10:00 AM, 12:00 PM",,8:15 AM,12:05 PM,8:15 AM,12:05 PM,English
